cleaned_category,score
Studio Egg,6.15
Craftar Studios,6.1466666666666665
JCF,6.1466666666666665
Horannabi,6.140000000000001
Gyorai Eizo Inc.,6.14
Irawias,6.14
Trash Studio,6.14
Imagin,6.137
Live2D Creative Studio,6.135
Bakken Record,6.13
Gainax Kyoto,6.13
Phoenix Entertainment,6.127692307692308
Studio Korumi,6.12
XFLAG,6.12
Bandai Spirits,6.11
Panda Factory,6.11
Success Corp.,6.11
Akatsuki,6.1075
Studio Boogie Nights,6.102
Drive,6.1
EKACHI EPILKA,6.1
Network Kouenji Studio,6.1
Ripromo,6.1
XFLAG Pictures,6.095
Dream Entertainment,6.094545454545455
Animation Lab Japan,6.09
Shinkuukan,6.088235294117647
Dawn Animation,6.08
Studio Core,6.08
Yi Chen Animation,6.08
Plum,6.0775
Ascension,6.072222222222222
Congzhuo Animation,6.07
Nur,6.07
domerica,6.068
Teatro Nishi Tokyo Studio,6.062
Anima&Co.,6.06
Enzo Animation,6.06
teamKG,6.06
Shanghai Animation Film Studio,6.0575
Melissa,6.056666666666667
Studio Zealot,6.05
Tomoyasu Murata Company,6.05
LMD,6.045
Primastea,6.04
Gunners,6.03
Indeprox,6.03
Sunny Side Up,6.03
Aiko,6.02
"""Childrens Playground Entertainment""",6.016
Creators in Pack,6.0159259259259255
Studio Crocodile,6.011666666666667
Asahi Production,6.011
Ashi Production,6.01
Gonzino,6.01
AT-2,6
Buemon,5.995
Assez Finaud Fabric,5.992
Husio Studio,5.99
Urban Product,5.99
DR Movie,5.985
WAO World,5.982857142857143
Studio Jam,5.9817857142857145
Maxilla,5.98
EMT Squared,5.979047619047619
Inugoya,5.970000000000001
Four Some,5.97
Sotsu,5.97
Composition Inc.,5.96
HOTZIPANG,5.956666666666667
Namu Animation,5.953333333333334
Studio Kyuuma,5.9525
Schoolzone,5.952
Tokyo Movie,5.949999999999999
Rikuentai,5.946666666666666
Studio Bogey,5.943333333333333
Planet Nemo Animation,5.94
Strawberry Meets Pictures,5.93
Studio Ppuri,5.93
Studio UGOKI,5.93
Team YokkyuFuman,5.926
LandQ studios,5.92
Directions,5.91
Mousou Senka,5.91
Y.O.U.C,5.908875
AQUA ARIS,5.9076
Dangun Pictures,5.903333333333333
Studio Izena,5.9
Typhoon Graphics,5.89875
Echoes,5.8933333333333335
Mook Animation,5.8914285714285715
I-move,5.89
Sumomo Film,5.89
Datama Film,5.8875
animate Film,5.884722222222222
Daewon Media,5.875
Saetta,5.875
Calf Studio,5.873333333333333
Magma Studio,5.87
Zero-G Room,5.87
MB planning,5.866666666666667
SIDO LIMITED,5.8660000000000005
Bibury Animation CG,5.86
Asura Film,5.859999999999999
Kate Arrow,5.855
Minakata Laboratory,5.8525
Animation Planet,5.85
UWAN Pictures,5.85
Wako Productions,5.85
Image House,5.848
Digital Media Lab,5.845
Studio Matrix,5.845
Aubec,5.843333333333334
Sakura Create,5.84
KKC Animation Production,5.83
DLE,5.824814814814815
ORADA COMPANY,5.822
Studio Take Off,5.82
Blue Note,5.8100000000000005
Studio March,5.803333333333334
Studio Hakk,5.8
Studio Sign,5.79
Knack Productions,5.785384615384616
Studio Kajino,5.785
LIDENFILMS Osaka Studio,5.78
Animation Staff Room,5.776666666666666
Studio Ranmaru,5.773333333333333
Atti Production,5.77
Bandai Visual,5.77
Blue bread,5.77
Ether Kitten,5.77
Oddjob,5.77
Pops Inc.,5.766666666666667
Next Media Animation,5.76
GARDEN LODGE,5.7475
A-Real,5.746666666666667
FLAGSHIP LINE,5.74
IMAGICA Lab.,5.736
Charaction,5.734
Shindeban Film,5.733333333333333
Shinjukuza,5.726666666666667
BOMB! CUTE! BOMB!,5.72
MAT,5.72
AIC Project,5.71
JOF,5.71
Anime R,5.705
Fifth Avenue,5.7
J.K.I,5.7
ILCA,5.6982608695652175
Studio Nue,5.695
Studio Signal,5.692
Drawing and Manual,5.69
Suspenders,5.6850000000000005
MASTER LIGHTS,5.67
Other or NA,5.668886097152429
Kachidoki Studio,5.667
Shura,5.663333333333333
DMM pictures,5.655
Okumaza,5.65
Staple Entertainment,5.65
happyproject,5.65
Zyc,5.6466666666666665
Triple X,5.646451612903226
Studio Guts,5.64
Hotline,5.638
Alice Production,5.635
Hiro Media,5.63
Studio Live,5.626363636363636
G-angle,5.6175
D.A.S.T.,5.616666666666667
Studio A-CAT,5.614
C and R,5.61
Studio Lings,5.6
PP Project,5.585454545454546
Fukushima Gaina,5.585
Aiti St.,5.574999999999999
Tri-Slash,5.57
Studio Khronos,5.5600000000000005
Tsubo Production,5.5600000000000005
Eallin,5.553333333333334
Pollyanna Graphics,5.55
Spoon,5.53
Welz Animation Studios,5.53
Frontier Works,5.52
Mikimoto Production,5.52
Production D.M.H,5.52
Soft Garage,5.52
Studio 88,5.52
Ai Yume Mai,5.515000000000001
Studio Unicorn,5.515000000000001
Speed Inc.,5.51
Usagi Ou,5.51
Rising Force,5.508
P core,5.506666666666667
"""Monsters Egg""",5.5
81 Produce,5.5
Gakken Eigakyoku,5.5
Opera House,5.5
TUBA,5.470000000000001
Studio OX,5.47
Pie in the sky,5.466666666666667
RG Animation Studios,5.462
Suna Kouhou,5.44
Takahashi Studio,5.44
Stingray,5.43
Toho Interactive Animation,5.43
Inc.,5.4275
Yamamura Animation,5.4275
Kenji Studio,5.415
ACC Production,5.413333333333333
Project Team Muu,5.41
DRAWIZ,5.404
Big Bang,5.4
pH Studio,5.395
An DerCen,5.390000000000001
ARECT,5.39
Indivision,5.38
Office AO,5.38
PPM,5.376666666666667
Creatures Inc.,5.375
ORENDA,5.37
Onion Studio,5.36
Onionskin,5.3580000000000005
MooGoo,5.3533333333333335
KAGAYA Studio,5.35
Eshoya Honpo,5.345
Deck,5.34
Lide,5.34
drop,5.336666666666667
Karasfilms,5.33
Otogi Production,5.33
Sonsan Kikaku,5.33
Studio Wombat,5.33
animate,5.32
Shochiku Animation Institute,5.296666666666667
Soeishinsha,5.295
Saigo no Shudan,5.285
