cleaned_category,score
Milky Animation Label,6.138319327731092
Sol Blade,6.133333333333334
NEC Avenue,6.133333333333333
Kitty Film Mitaka Studio,6.13
Sovat Theater,6.13
Volks,6.13
Soeishinsha,6.128333333333334
Hero Communication,6.12
Liverpool,6.11
Qiying Animation,6.1
Viki,6.1
FIREBUG,6.095000000000001
Trinet Entertainment,6.095
Azeta Pictures,6.09
FanFan Inc.,6.09
HJ Holdings,6.09
KJJ Animation,6.09
Shun Produce,6.09
Sunwoo Entertainment,6.09
F.M.F,6.0840000000000005
Rakuten,6.078
FABTONE,6.075
Suiseisha,6.075
AIC Rights,6.07
Armor,6.07
Arts Magic,6.07
MooGoo,6.07
Soft on Demand,6.07
blackflag,6.0600000000000005
EBS,6.06
